"Name","AnimalType","AgeinDays","HasName","Hour","Minute","Weekday","Day","Month","Year","TimeofDay","ColorComplexity","BreedComplexity","IsMix","SimpleBreed","SimpleColor","Intact","Sex","LifeStage","OutcomeType"
"Quattro","Dog","300",1,16,32,"1",28,"10","2013","lateday","11","19",1,"German Shepherd","Brown",0,"Male","baby","Adoption"
"Trigger","Dog","60",1,17,44,"3",9,"4","2014","lateday","11","19",1,"German Shepherd","Black",0,"Male","baby","Return_to_owner"
"Olive","Cat","30",1,15,44,"6",3,"10","2015","midday","12","22",1,"Domestic Shorthair","Orange",1,"Female","baby","Transfer"
"Nia","Dog","180",1,17,31,"5",15,"1","2016","lateday","15","34",1,"American Staffordshire Terrier","Chocolate",0,"Female","baby","Adoption"
"Chloe","Dog","1825",1,18,50,"3",25,"3","2015","lateday","9","23",1,"Chihuahua Shorthair","White",0,"Female","adult","Adoption"
"Cymbale","Cat","60",1,13,1,"6",21,"11","2015","midday","17","22",1,"Domestic Shorthair","Cream",0,"Female","baby","Adoption"
"Jax","Cat","2555",1,14,30,"4",30,"7","2015","midday","4","16",1,"Russian Blue","Blue",0,"Male","adult","Return_to_owner"
"Nameless","Cat","1095",0,13,57,"5",1,"1","2016","midday","6","22",1,"Domestic Shorthair","Calico",0,"Female","adult","Euthanasia"
"Murphy","Dog","120",1,15,25,"3",15,"7","2015","midday","11","22",1,"Labrador Retriever","Black",1,"Male","baby","Transfer"
"Nameless","Cat","60",0,17,1,"4",3,"7","2014","lateday","6","22",1,"Domestic Shorthair","Torbie",0,"Female","baby","Adoption"
"Jesse","Dog","1825",1,13,24,"5",8,"11","2013","midday","11","29",1,"Collie Smooth","Brown",0,"Male","adult","Return_to_owner"
"Delgado","Dog","1095",1,16,1,"6",11,"4","2015","lateday","5","23",1,"Chihuahua Shorthair","Brown",0,"Male","adult","Transfer"
"Nameless","Dog","1095",0,14,55,"5",6,"12","2013","midday","6","22",1,"Labrador Retriever","Yellow",1,"Male","adult","Euthanasia"
"Pony Boy","Dog","1095",1,11,22,"4",24,"10","2013","night","11","12",1,"Pit Bull","Brown",0,"Male","adult","Return_to_owner"
"Nameless","Cat","60",0,13,37,"3",2,"7","2014","midday","10","22",1,"Domestic Shorthair","Blue",1,"Male","baby","Transfer"
"Mica","Cat","120",1,0,0,"2",11,"8","2015","night","11","22",1,"Domestic Shorthair","Black",0,"Male","baby","Transfer"
"Nameless","Cat","21",0,12,16,"2",14,"7","2015","midday","11","22",1,"Domestic Shorthair","Brown",1,"Male","baby","Transfer"
"Pilar","Cat","2555",1,17,26,"6",4,"4","2015","lateday","10","22",1,"Domestic Shorthair","Blue",0,"Female","adult","Adoption"
"Nameless","Cat","60",0,13,25,"2",23,"6","2015","midday","12","22",1,"Domestic Shorthair","Orange",1,"Male","baby","Transfer"
"Lucy","Cat","60",1,15,4,"1",9,"12","2013","midday","11","22",1,"Domestic Shorthair","Brown",1,"Female","baby","Transfer"
"Nameless","Cat","1460",0,15,15,"2",21,"1","2014","midday","11","21",1,"Domestic Longhair","Black",1,"Male","adult","Transfer"
"Ali","Cat","730",1,15,52,"3",28,"5","2014","midday","11","22",1,"Domestic Shorthair","Black",0,"Male","adult","Adoption"
"Chester","Dog","4380",1,7,50,"3",27,"8","2014","morning","8","6",0,"Beagle","Tricolor",0,"Male","adult","Return_to_owner"
"Daisy","Cat","3285",1,11,15,"2",5,"8","2014","night","11","22",1,"Domestic Shorthair","White",0,"Female","adult","Return_to_owner"
"Nameless","Cat","21",0,11,46,"2",5,"5","2015","night","5","22",1,"Domestic Shorthair","Black",1,"Female","baby","Transfer"
"Edith","Dog","150",1,17,57,"1",9,"3","2015","lateday","11","19",1,"German Shepherd","Black",0,"Female","baby","Adoption"
"Nameless","Dog","2190",0,15,37,"3",30,"10","2013","midday","15","27",1,"Pit Bull","Chocolate",1,"Male","adult","Euthanasia"
"Nameless","Cat","365",0,9,0,"1",28,"7","2014","morning","6","22",1,"Domestic Shorthair","Tortie",1,"Female","baby","Transfer"
"Caty","Cat","90",1,18,58,"1",19,"10","2015","lateday","11","22",1,"Domestic Shorthair","Brown",0,"Female","baby","Adoption"
"Nameless","Cat","21",0,17,16,"4",26,"6","2014","lateday","16","22",1,"Domestic Shorthair","Blue",1,"Female","baby","Transfer"
"Gabe","Dog","730",1,12,7,"4",14,"5","2015","midday","10","13",1,"Blue Lacy","Gray",0,"Male","adult","Adoption"
"Beth","Cat","60",1,16,5,"2",18,"11","2014","lateday","18","22",1,"Domestic Shorthair","Orange",0,"Female","baby","Adoption"
"Nameless","Cat","7",0,15,2,"7",4,"10","2015","midday","5","22",1,"Domestic Shorthair","Black",1,"Male","baby","Transfer"
"Bashful","Cat","60",1,13,52,"7",16,"8","2015","midday","6","22",1,"Domestic Shorthair","Calico",0,"Female","baby","Adoption"
"Nameless","Dog","365",0,16,23,"5",18,"7","2014","lateday","3","23",1,"Chihuahua Shorthair","Tan",1,"Male","baby","Transfer"
"Lola","Dog","1460",1,14,5,"2",16,"9","2014","midday","9","19",1,"Black Mouth Cur","Tan",0,"Female","adult","Return_to_owner"
"Sugar","Dog","730",1,12,38,"1",7,"7","2014","midday","11","16",1,"Dachshund","Brown",0,"Male","adult","Adoption"
"Orangejello","Cat","365",1,13,32,"3",19,"8","2015","midday","18","22",1,"Domestic Shorthair","Orange",1,"Male","baby","Transfer"
"Prec Punkin'","Dog","4015",1,18,7,"5",9,"5","2014","lateday","11","21",1,"Yorkshire Terrier","Brown",0,"Female","adult","Euthanasia"
"Wilma","Cat","30",1,15,7,"2",6,"10","2015","midday","5","22",1,"Domestic Shorthair","Black",1,"Female","baby","Transfer"
"Bella","Dog","730",1,11,45,"3",23,"9","2015","night","9","13",1,"Dachshund","Tan",0,"Female","adult","Adoption"
"Nameless","Cat","14",0,17,31,"4",17,"7","2014","lateday","5","22",1,"Domestic Shorthair","Black",3,"Unknown","baby","Transfer"
"Chiquita","Dog","2190",1,18,32,"2",27,"10","2015","lateday","5","11",1,"Maltese","White",0,"Female","adult","Return_to_owner"
"Hero","Dog","180",1,15,53,"1",8,"12","2014","midday","11","11",1,"Pointer","Black",0,"Male","baby","Transfer"
"Molly","Dog","60",1,15,31,"2",8,"9","2015","midday","4","16",0,"English Foxhound","Buff",1,"Female","baby","Transfer"
"Nameless","Cat","60",0,9,0,"2",16,"6","2015","morning","17","22",1,"Domestic Shorthair","Brown",3,"Unknown","baby","Transfer"
"Bella","Dog","365",1,18,18,"6",10,"5","2014","lateday","3","23",1,"Chihuahua Shorthair","Red",0,"Female","baby","Adoption"
"Chili","Dog","60",1,17,55,"3",30,"4","2014","lateday","5","10",1,"Vizsla","Brown",0,"Male","baby","Adoption"
"Hastings","Dog","730",1,14,53,"5",29,"1","2016","midday","19","12",1,"Pit Bull","Brown",0,"Male","adult","Transfer"
"Nameless","Dog","1095",0,18,15,"2",25,"3","2014","lateday","5","30",1,"German Shepherd","White",0,"Female","adult","Adoption"
"Tootsie","Cat","365",1,11,32,"2",18,"8","2015","night","5","22",1,"Domestic Shorthair","Black",1,"Female","baby","Return_to_owner"
"Snookie","Dog","1460",1,16,17,"6",28,"12","2013","lateday","8","21",1,"Yorkshire Terrier","Blue",0,"Female","adult","Return_to_owner"
"Abby","Dog","730",1,14,28,"3",19,"8","2015","midday","3","40",1,"Cardigan Welsh Corgi","Tan",0,"Female","adult","Transfer"
"Nym","Cat","90",1,17,22,"7",22,"6","2014","lateday","11","17",0,"Domestic Longhair","Brown",0,"Female","baby","Adoption"
"Nameless","Cat","365",0,17,9,"5",21,"3","2014","lateday","6","22",1,"Domestic Shorthair","Calico",1,"Female","baby","Euthanasia"
"Zeus","Dog","60",1,16,7,"7",7,"6","2015","lateday","5","18",1,"Chow Chow","Black",0,"Male","baby","Adoption"
"Nameless","Cat","730",0,19,38,"7",20,"12","2015","lateday","11","22",1,"Domestic Shorthair","Black",0,"Female","adult","Transfer"
"Charlie","Dog","365",1,12,10,"4",17,"12","2015","midday","5","19",0,"Chihuahua Shorthair","White",0,"Male","baby","Adoption"
"Nameless","Cat","14",0,12,10,"2",22,"9","2015","midday","10","22",1,"Domestic Shorthair","Blue",3,"Unknown","baby","Euthanasia"
"Taco","Cat","28",1,18,56,"6",30,"5","2015","lateday","10","11",1,"Siamese","Seal",3,"Unknown","baby","Transfer"
"Nameless","Cat","730",0,9,0,"1",12,"10","2015","morning","10","22",1,"Domestic Shorthair","Blue",1,"Male","adult","Transfer"
"Avaddon","Dog","4380",1,17,17,"1",9,"2","2015","lateday","13","12",1,"Pit Bull","Brown",0,"Male","adult","Euthanasia"
"Nameless","Dog","365",0,18,51,"7",14,"9","2014","lateday","11","16",1,"Dachshund","Brown",0,"Male","baby","Adoption"
"Arthur","Cat","60",1,15,37,"6",18,"7","2015","midday","5","22",1,"Domestic Shorthair","Black",0,"Male","baby","Adoption"
"Nameless","Cat","14",0,15,4,"2",14,"7","2015","midday","5","22",1,"Domestic Shorthair","Black",1,"Male","baby","Transfer"
"Nameless","Dog","90",0,18,0,"6",26,"4","2014","lateday","11","22",1,"Labrador Retriever","Black",1,"Female","baby","Transfer"
"Nameless","Cat","90",0,15,56,"1",18,"11","2013","midday","6","24",1,"Domestic Medium Hair","Calico",0,"Female","baby","Adoption"
"Freeway","Dog","150",1,14,16,"2",15,"12","2015","midday","19","15",1,"Plott Hound","Brown",0,"Male","baby","Adoption"
"Chloe","Dog","1095",1,14,54,"7",7,"2","2016","midday","5","16",1,"Boxer","Black",0,"Female","adult","Adoption"
"Georgia","Dog","2555",1,11,49,"4",10,"4","2014","night","11","10",0,"Lhasa Apso","White",0,"Female","adult","Transfer"
"Hero","Dog","730",1,18,56,"5",6,"2","2015","lateday","9","19",1,"German Shepherd","Black",0,"Female","adult","Euthanasia"
"Thelma","Cat","120",1,15,11,"1",29,"12","2014","midday","5","22",1,"Domestic Shorthair","Black",0,"Female","baby","Adoption"
"Darcy","Dog","3285",1,14,6,"7",15,"11","2015","midday","11","31",1,"Beagle","White",0,"Female","adult","Adoption"
"Taz","Dog","210",1,15,12,"7",6,"12","2015","midday","11","17",1,"Border Collie","Black",0,"Male","baby","Transfer"
"Nameless","Cat","60",0,19,28,"1",14,"7","2014","lateday","11","22",1,"Domestic Shorthair","Black",0,"Male","baby","Adoption"
"Nameless","Cat","1095",0,9,0,"5",24,"10","2014","morning","11","22",1,"Domestic Shorthair","Black",1,"Male","adult","Transfer"
"Nameless","Dog","1095",0,16,18,"3",14,"1","2015","lateday","4","18",1,"Border Terrier","Gray",0,"Male","adult","Adoption"
"Poppy","Dog","1825",1,17,43,"4",29,"5","2014","lateday","9","23",1,"Chihuahua Shorthair","Tan",0,"Male","adult","Adoption"
"Dexter","Dog","1825",1,12,5,"4",28,"1","2016","midday","19","9",1,"Boxer","Brown",0,"Male","adult","Transfer"
"Nameless","Cat","14",0,11,50,"3",16,"10","2013","night","4","24",1,"Domestic Medium Hair","Blue",1,"Female","baby","Transfer"
"Nameless","Cat","14",0,14,40,"7",26,"7","2015","midday","5","22",1,"Domestic Shorthair","Black",3,"Unknown","baby","Transfer"
"Matty","Cat","1460",1,14,41,"4",30,"1","2014","midday","6","22",1,"Domestic Shorthair","Torbie",0,"Female","adult","Transfer"
"Chubbs","Dog","1460",1,18,6,"3",8,"4","2015","lateday","9","17",1,"Cairn Terrier","Tan",0,"Male","adult","Return_to_owner"
"Lilly","Cat","60",1,18,27,"7",19,"7","2015","lateday","11","22",1,"Domestic Shorthair","Brown",0,"Male","baby","Adoption"
"Minnie","Dog","730",1,12,2,"5",20,"12","2013","midday","9","23",1,"Chihuahua Shorthair","Black",0,"Female","adult","Return_to_owner"
"Santiago","Dog","730",1,18,43,"7",23,"3","2014","lateday","5","18",1,"Dogo Argentino","White",0,"Male","adult","Adoption"
"Franklin","Dog","3285",1,11,26,"6",29,"3","2014","night","11","13",1,"Dachshund","Black",0,"Male","adult","Return_to_owner"
"Myles","Dog","1825",1,18,16,"2",11,"2","2014","lateday","8","10",1,"Beagle","Tricolor",0,"Male","adult","Return_to_owner"
"Wiz","Dog","365",1,16,53,"5",6,"12","2013","lateday","20","29",1,"Chihuahua Shorthair","Yellow",0,"Male","baby","Euthanasia"
"Abby","Dog","730",1,16,37,"7",20,"10","2013","lateday","10","12",1,"Pit Bull","Fawn",0,"Female","adult","Adoption"
"Nameless","Cat","21",0,15,59,"2",6,"5","2014","midday","11","22",1,"Domestic Shorthair","Brown",1,"Male","baby","Transfer"
"Boss","Dog","150",1,15,48,"1",6,"7","2015","midday","11","12",1,"Pit Bull","White",1,"Male","baby","Transfer"
"Nameless","Cat","2190",0,16,23,"1",26,"1","2015","lateday","12","22",1,"Domestic Shorthair","Orange",1,"Male","adult","Euthanasia"
"Missy","Dog","365",1,15,38,"6",22,"3","2014","midday","3","23",1,"Chihuahua Shorthair","Tan",0,"Female","baby","Adoption"
"Basil","Dog","90",1,0,0,"4",5,"11","2015","night","11","23",1,"Chihuahua Shorthair","Black",1,"Male","baby","Transfer"
"Katydid","Cat","30",1,18,29,"6",24,"10","2015","lateday","6","21",1,"Domestic Longhair","Calico",1,"Female","baby","Transfer"
"Kiki","Dog","1095",1,16,59,"7",3,"5","2015","lateday","5","23",1,"Chihuahua Shorthair","Brown",0,"Female","adult","Return_to_owner"
"Desmo","Dog","1825",1,17,0,"1",14,"4","2014","lateday","5","13",1,"Dachshund","Black",0,"Male","adult","Return_to_owner"
"Pablo","Dog","2920",1,11,22,"1",26,"5","2014","night","5","36",1,"Miniature Schnauzer","Black",0,"Male","adult","Adoption"
"Nameless","Dog","60",0,14,15,"7",21,"9","2014","midday","11","22",1,"Labrador Retriever","Black",0,"Female","baby","Adoption"
"Nameless","Cat","2555",0,11,57,"5",14,"11","2014","night","6","22",1,"Domestic Shorthair","Tortie",1,"Female","adult","Euthanasia"
"Pandora","Cat","60",1,18,43,"5",3,"10","2014","lateday","5","22",1,"Domestic Shorthair","Black",1,"Female","baby","Adoption"
"Jackson","Dog","1825",1,17,3,"4",11,"9","2014","lateday","5","8",0,"Pit Bull","Black",0,"Male","adult","Adoption"
"Watson","Dog","365",1,17,22,"7",31,"1","2016","lateday","11","12",1,"Pit Bull","White",0,"Male","baby","Adoption"
"Nameless","Cat","90",0,9,0,"7",24,"8","2014","morning","11","22",1,"Domestic Shorthair","Brown",1,"Male","baby","Transfer"
"Levon","Dog","730",1,18,40,"7",22,"3","2015","lateday","11","23",1,"Chihuahua Shorthair","Brown",0,"Male","adult","Return_to_owner"
"Snickerdoodl","Dog","3285",1,11,15,"7",25,"1","2015","night","15","22",1,"Labrador Retriever","Chocolate",0,"Female","adult","Return_to_owner"
"Lola","Dog","1095",1,17,18,"4",22,"10","2015","lateday","9","12",1,"Pit Bull","Red",0,"Female","adult","Adoption"
"Jumbly","Cat","1095",1,18,39,"1",26,"10","2015","lateday","6","22",1,"Domestic Shorthair","Calico",0,"Female","adult","Return_to_owner"
"Pearl","Dog","365",1,14,3,"5",15,"1","2016","midday","11","40",1,"Chihuahua Shorthair","Black",0,"Female","baby","Adoption"
"Pebbles","Dog","730",1,15,28,"5",9,"1","2015","midday","9","23",1,"Chihuahua Shorthair","Black",0,"Female","adult","Transfer"
"Minnie","Dog","365",1,17,30,"2",15,"12","2015","lateday","13","8",0,"Pit Bull","Brown",0,"Female","baby","Return_to_owner"
"Merlin","Cat","730",1,16,41,"2",10,"6","2014","lateday","11","11",1,"Siamese","Flame",0,"Male","adult","Transfer"
"Parsley","Dog","730",1,15,19,"6",16,"5","2015","midday","5","19",1,"Tibetan Terrier","Brown",0,"Female","adult","Return_to_owner"
"Nameless","Cat","730",0,9,0,"3",18,"6","2014","morning","10","22",1,"Domestic Shorthair","Blue",1,"Female","adult","Transfer"
"Nameless","Cat","90",0,9,0,"2",20,"10","2015","morning","6","22",1,"Domestic Shorthair","Tortie",3,"Unknown","baby","Transfer"
"Abby","Dog","30",1,18,55,"7",23,"11","2014","lateday","8","38",1,"Miniature Pinscher","Tricolor",0,"Female","baby","Adoption"
"Nameless","Cat","60",0,13,20,"2",5,"8","2014","midday","18","22",1,"Domestic Shorthair","Orange",0,"Male","baby","Adoption"
"Nameless","Cat","300",0,19,38,"7",16,"2","2014","lateday","11","24",1,"Domestic Medium Hair","Cream",0,"Male","baby","Adoption"
"Ricky","Cat","730",1,16,31,"2",9,"2","2016","lateday","17","24",1,"Domestic Medium Hair","Brown",0,"Female","adult","Transfer"
"Tom","Cat","60",1,15,33,"7",28,"6","2015","midday","6","24",1,"Domestic Medium Hair","Calico",0,"Female","baby","Adoption"
"Amarillo","Dog","180",1,19,11,"7",1,"11","2015","lateday","6","22",1,"Labrador Retriever","Yellow",0,"Male","baby","Adoption"
"Nala","Cat","60",1,19,14,"6",7,"11","2015","lateday","11","22",1,"Domestic Shorthair","Brown",0,"Female","baby","Adoption"
"Nameless","Dog","365",0,18,9,"5",26,"9","2014","lateday","3","13",1,"Dachshund","Tan",0,"Female","baby","Adoption"
"Winnie","Dog","180",1,14,37,"3",22,"10","2014","midday","11","13",1,"Dachshund","Brown",1,"Female","baby","Transfer"
"Luna","Cat","365",1,17,48,"7",1,"6","2014","lateday","11","22",1,"Domestic Shorthair","Black",0,"Female","baby","Adoption"
"Nameless","Cat","21",0,18,38,"5",12,"9","2014","lateday","6","22",1,"Domestic Shorthair","Calico",1,"Male","baby","Transfer"
"Tokyo","Cat","730",1,14,58,"5",19,"2","2016","midday","11","22",1,"Domestic Shorthair","Brown",0,"Male","adult","Adoption"
"Diamond","Dog","330",1,13,30,"6",14,"11","2015","midday","10","13",1,"Blue Lacy","Blue",0,"Female","baby","Adoption"
"Nameless","Dog","90",0,16,58,"1",3,"3","2014","lateday","8","15",1,"Rat Terrier","Tricolor",0,"Male","baby","Transfer"
"Minnie","Dog","730",1,12,34,"1",10,"2","2014","midday","5","18",0,"Dachshund Longhair","Brown",0,"Female","adult","Return_to_owner"
"Neville","Dog","730",1,12,25,"6",27,"9","2014","midday","3","12",1,"Pit Bull","Red",0,"Male","adult","Transfer"
"Conrad","Dog","730",1,11,32,"6",15,"8","2015","night","11","12",1,"Pit Bull","Brown",0,"Male","adult","Adoption"
"Shiva","Cat","120",1,18,45,"4",3,"7","2014","lateday","6","17",0,"Domestic Longhair","Calico",0,"Female","baby","Adoption"
"Nameless","Dog","120",0,15,17,"1",11,"8","2014","midday","3","29",1,"Dachshund","Red",1,"Female","baby","Transfer"
"Nameless","Cat","150",0,9,0,"1",15,"9","2014","morning","6","22",1,"Domestic Shorthair","Torbie",1,"Female","baby","Transfer"
"Jupiter","Cat","60",1,11,28,"3",16,"12","2015","night","17","22",1,"Domestic Shorthair","Black",0,"Male","baby","Adoption"
"Nero","Dog","2555",1,15,41,"3",29,"7","2015","midday","11","23",1,"Chihuahua Shorthair","Brown",0,"Male","adult","Transfer"
"Oscar","Cat","1460",1,16,5,"6",23,"1","2016","lateday","11","22",1,"Domestic Shorthair","Black",0,"Male","adult","Adoption"
"Nameless","Cat","21",0,11,35,"4",10,"9","2015","night","13","22",1,"Domestic Shorthair","Tortie",1,"Female","baby","Transfer"
"Dasher","Dog","180",1,17,8,"7",6,"12","2015","lateday","11","17",1,"Border Collie","Black",0,"Male","baby","Adoption"
"Libby","Dog","150",1,17,58,"6",8,"8","2015","lateday","11","22",1,"Labrador Retriever","Black",1,"Female","baby","Adoption"
"Gracie","Dog","2920",1,11,43,"3",13,"1","2016","night","5","7",0,"Maltese","White",0,"Female","adult","Return_to_owner"
"Nameless","Cat","60",0,17,26,"7",19,"7","2015","lateday","5","22",1,"Domestic Shorthair","Black",0,"Male","baby","Adoption"
"Sugar","Cat","30",1,18,5,"1",6,"7","2015","lateday","16","22",1,"Domestic Shorthair","Blue",0,"Female","baby","Adoption"
"Nameless","Dog","150",0,18,30,"1",15,"2","2016","lateday","5","22",1,"Labrador Retriever","White",0,"Female","baby","Return_to_owner"
"Jethro","Cat","30",1,13,58,"6",31,"5","2014","midday","11","22",1,"Domestic Shorthair","Brown",1,"Male","baby","Transfer"
"Nameless","Cat","120",0,9,0,"4",23,"10","2014","morning","10","22",1,"Domestic Shorthair","Blue",1,"Male","baby","Transfer"
"Keyla","Dog","365",1,11,54,"6",1,"8","2015","night","9","23",1,"Chihuahua Shorthair","White",0,"Female","baby","Adoption"
"Samson","Dog","730",1,16,25,"7",10,"8","2014","lateday","11","29",1,"Labrador Retriever","Black",0,"Male","adult","Adoption"
"August","Cat","4015",1,15,50,"1",4,"11","2013","midday","6","22",1,"Domestic Shorthair","Tortie",0,"Female","adult","Transfer"
"Nameless","Dog","60",0,9,31,"4",25,"6","2015","morning","8","28",1,"Dachshund","Tricolor",0,"Male","baby","Adoption"
"Herb","Cat","60",1,0,0,"2",1,"9","2015","night","11","22",1,"Domestic Shorthair","White",0,"Male","baby","Transfer"
"Stripey","Cat","60",1,18,44,"4",29,"10","2015","lateday","11","22",1,"Domestic Shorthair","Brown",1,"Female","baby","Adoption"
"Sallie","Dog","30",1,14,41,"1",20,"4","2015","midday","19","30",1,"Plott Hound","Black",0,"Female","baby","Adoption"
"Klo Dog","Dog","2555",1,11,26,"1",25,"5","2015","night","9","31",1,"Chihuahua Shorthair","White",0,"Female","adult","Return_to_owner"
"Nameless","Cat","4",0,13,47,"3",21,"5","2014","midday","17","22",1,"Domestic Shorthair","Cream",1,"Male","baby","Transfer"
"Milo","Dog","1460",1,13,24,"1",9,"11","2015","midday","10","14",0,"Siberian Husky","White",0,"Male","adult","Return_to_owner"
"Scarlet","Dog","730",1,0,0,"2",22,"12","2015","night","9","25",1,"Australian Cattle Dog","Tan",0,"Female","adult","Transfer"
"Pebbles","Dog","365",1,13,26,"6",14,"11","2015","midday","11","11",1,"Pointer","White",0,"Female","baby","Return_to_owner"
"Cairo","Dog","730",1,17,5,"3",9,"12","2015","lateday","19","12",1,"Pit Bull","Brown",0,"Male","adult","Return_to_owner"
"Nameless","Cat","28",0,18,51,"3",3,"9","2014","lateday","11","24",1,"Domestic Medium Hair","Brown",1,"Female","baby","Transfer"
"Calypso","Cat","365",1,11,53,"5",13,"11","2015","night","11","22",1,"Domestic Shorthair","Black",1,"Female","baby","Transfer"
"Luna","Dog","730",1,17,39,"2",12,"5","2015","lateday","10","34",1,"Yorkshire Terrier","Tan",0,"Female","adult","Adoption"
"Nameless","Cat","300",0,12,27,"4",3,"10","2013","midday","12","22",1,"Domestic Shorthair","Orange",1,"Male","baby","Transfer"
"Diva","Dog","1460",1,12,50,"6",7,"3","2015","midday","5","19",1,"German Shepherd","White",0,"Female","adult","Transfer"
"Olivia","Cat","120",1,17,48,"3",16,"7","2014","lateday","17","22",1,"Domestic Shorthair","Brown",0,"Female","baby","Adoption"
"Ashley","Dog","2190",1,11,51,"3",13,"5","2015","night","9","28",1,"Catahoula","White",0,"Female","adult","Transfer"
"Nameless","Dog","270",0,17,47,"5",15,"5","2015","lateday","11","20",1,"Miniature Poodle","Black",0,"Female","baby","Adoption"
"Jaqueline","Dog","1095",1,14,33,"6",19,"9","2015","midday","3","29",1,"Jack Russell Terrier","Red",0,"Female","adult","Adoption"
"Tabitha","Cat","240",1,12,43,"7",23,"11","2014","midday","6","22",1,"Domestic Shorthair","Torbie",0,"Female","baby","Adoption"
"Roxie","Dog","300",1,16,12,"4",1,"5","2014","lateday","14","35",1,"Queensland Heeler","Red",0,"Female","baby","Adoption"
"Nameless","Cat","365",0,0,0,"2",1,"9","2015","night","17","22",1,"Domestic Shorthair","White",0,"Male","baby","Transfer"
"Harper","Dog","365",1,16,44,"2",27,"10","2015","lateday","10","13",1,"Catahoula","Blue",0,"Male","baby","Adoption"
"Hanley","Dog","365",1,18,50,"5",3,"7","2015","lateday","11","22",1,"Labrador Retriever","Black",0,"Male","baby","Adoption"
"Boomer","Dog","90",1,15,2,"4",24,"7","2014","midday","6","22",1,"Labrador Retriever","Yellow",0,"Male","baby","Adoption"
"Brownie","Dog","2190",1,18,30,"2",19,"11","2013","lateday","13","23",1,"Chihuahua Shorthair","Chocolate",1,"Male","adult","Return_to_owner"
"Nameless","Cat","365",0,15,20,"2",21,"1","2014","midday","5","21",1,"Domestic Longhair","Black",3,"Unknown","baby","Transfer"
"Swisha","Dog","730",1,10,13,"4",10,"4","2014","morning","9","29",1,"American Pit Bull Terrier","Tan",0,"Male","adult","Return_to_owner"
