"AnimalType","AgeinDays","HasName","NameLength","Hour","Minute","Weekday","Day","Month","Year","TimeofDay","ColorComplexity","BreedComplexity","IsMix","IsSlash","SimpleBreed","SimpleColor","Intact","Sex","LifeStage","OutcomeType"
"Cat","730",1,"3",15,52,"3",28,"5","2014","midday","11","22","yes","no","Domestic Shorthair","Black","no","Male","nearly_baby","Adoption"
"Cat","3285",1,"5",11,15,"2",5,"8","2014","night","11","22","yes","no","Domestic Shorthair","White","no","Female","adult","Return_to_owner"
"Cat","21",0,"8",11,46,"2",5,"5","2015","night","5","22","yes","no","Domestic Shorthair","Black","yes","Female","baby","Transfer"
"Cat","365",0,"8",9,0,"1",28,"7","2014","morning","6","22","yes","no","Domestic Shorthair","Tortie","yes","Female","baby","Transfer"
"Cat","90",1,"4",18,58,"1",19,"10","2015","lateday","11","22","yes","no","Domestic Shorthair","Brown","no","Female","baby","Adoption"
"Cat","21",0,"8",17,16,"4",26,"6","2014","lateday","16","22","yes","no","Domestic Shorthair","Blue","yes","Female","baby","Transfer"
"Cat","60",1,"4",16,5,"2",18,"11","2014","lateday","18","22","yes","no","Domestic Shorthair","Orange","no","Female","baby","Adoption"
"Cat","7",0,"8",15,2,"7",4,"10","2015","midday","5","22","yes","no","Domestic Shorthair","Black","yes","Male","baby","Transfer"
"Cat","60",1,"7",13,52,"7",16,"8","2015","midday","6","22","yes","no","Domestic Shorthair","Calico","no","Female","baby","Adoption"
"Cat","365",1,"11",13,32,"3",19,"8","2015","midday","18","22","yes","no","Domestic Shorthair","Orange","yes","Male","baby","Transfer"
"Cat","30",1,"5",15,7,"2",6,"10","2015","midday","5","22","yes","no","Domestic Shorthair","Black","yes","Female","baby","Transfer"
"Cat","14",0,"8",17,31,"4",17,"7","2014","lateday","5","22","yes","no","Domestic Shorthair","Black","Unknown","Unknown","baby","Transfer"
"Cat","60",0,"8",9,0,"2",16,"6","2015","morning","17","22","yes","no","Domestic Shorthair","Brown","Unknown","Unknown","baby","Transfer"
"Cat","365",1,"7",11,32,"2",18,"8","2015","night","5","22","yes","no","Domestic Shorthair","Black","yes","Female","baby","Return_to_owner"
"Cat","90",1,"3",17,22,"7",22,"6","2014","lateday","11","17","no","no","Domestic Longhair","Brown","no","Female","baby","Adoption"
"Cat","365",0,"8",17,9,"5",21,"3","2014","lateday","6","22","yes","no","Domestic Shorthair","Calico","yes","Female","baby","Euthanasia"
"Cat","730",0,"8",19,38,"7",20,"12","2015","lateday","11","22","yes","no","Domestic Shorthair","Black","no","Female","nearly_baby","Transfer"
"Cat","14",0,"8",12,10,"2",22,"9","2015","midday","10","22","yes","no","Domestic Shorthair","Blue","Unknown","Unknown","baby","Euthanasia"
"Cat","28",1,"4",18,56,"6",30,"5","2015","lateday","10","11","yes","no","Siamese","Seal","Unknown","Unknown","baby","Transfer"
"Cat","730",0,"8",9,0,"1",12,"10","2015","morning","10","22","yes","no","Domestic Shorthair","Blue","yes","Male","nearly_baby","Transfer"
"Cat","60",1,"6",15,37,"6",18,"7","2015","midday","5","22","yes","no","Domestic Shorthair","Black","no","Male","baby","Adoption"
"Cat","14",0,"8",15,4,"2",14,"7","2015","midday","5","22","yes","no","Domestic Shorthair","Black","yes","Male","baby","Transfer"
"Cat","90",0,"8",15,56,"1",18,"11","2013","midday","6","24","yes","no","Domestic Medium Hair","Calico","no","Female","baby","Adoption"
"Cat","120",1,"6",15,11,"1",29,"12","2014","midday","5","22","yes","no","Domestic Shorthair","Black","no","Female","baby","Adoption"
"Cat","60",0,"8",19,28,"1",14,"7","2014","lateday","11","22","yes","no","Domestic Shorthair","Black","no","Male","baby","Adoption"
"Cat","1095",0,"8",9,0,"5",24,"10","2014","morning","11","22","yes","no","Domestic Shorthair","Black","yes","Male","adult","Transfer"
"Cat","14",0,"8",11,50,"3",16,"10","2013","night","4","24","yes","no","Domestic Medium Hair","Blue","yes","Female","baby","Transfer"
"Cat","14",0,"8",14,40,"7",26,"7","2015","midday","5","22","yes","no","Domestic Shorthair","Black","Unknown","Unknown","baby","Transfer"
"Cat","1460",1,"5",14,41,"4",30,"1","2014","midday","6","22","yes","no","Domestic Shorthair","Torbie","no","Female","adult","Transfer"
"Cat","60",1,"5",18,27,"7",19,"7","2015","lateday","11","22","yes","no","Domestic Shorthair","Brown","no","Male","baby","Adoption"
"Cat","21",0,"8",15,59,"2",6,"5","2014","midday","11","22","yes","no","Domestic Shorthair","Brown","yes","Male","baby","Transfer"
"Cat","2190",0,"8",16,23,"1",26,"1","2015","lateday","12","22","yes","no","Domestic Shorthair","Orange","yes","Male","adult","Euthanasia"
"Cat","30",1,"7",18,29,"6",24,"10","2015","lateday","6","21","yes","no","Domestic Longhair","Calico","yes","Female","baby","Transfer"
"Cat","2555",0,"8",11,57,"5",14,"11","2014","night","6","22","yes","no","Domestic Shorthair","Tortie","yes","Female","adult","Euthanasia"
"Cat","60",1,"7",18,43,"5",3,"10","2014","lateday","5","22","yes","no","Domestic Shorthair","Black","yes","Female","baby","Adoption"
"Cat","90",0,"8",9,0,"7",24,"8","2014","morning","11","22","yes","no","Domestic Shorthair","Brown","yes","Male","baby","Transfer"
"Cat","1095",1,"6",18,39,"1",26,"10","2015","lateday","6","22","yes","no","Domestic Shorthair","Calico","no","Female","adult","Return_to_owner"
"Cat","730",1,"6",16,41,"2",10,"6","2014","lateday","11","11","yes","no","Siamese","Flame","no","Male","nearly_baby","Transfer"
"Cat","730",0,"8",9,0,"3",18,"6","2014","morning","10","22","yes","no","Domestic Shorthair","Blue","yes","Female","nearly_baby","Transfer"
"Cat","90",0,"8",9,0,"2",20,"10","2015","morning","6","22","yes","no","Domestic Shorthair","Tortie","Unknown","Unknown","baby","Transfer"
"Cat","60",0,"8",13,20,"2",5,"8","2014","midday","18","22","yes","no","Domestic Shorthair","Orange","no","Male","baby","Adoption"
"Cat","300",0,"8",19,38,"7",16,"2","2014","lateday","11","24","yes","no","Domestic Medium Hair","Cream","no","Male","baby","Adoption"
"Cat","730",1,"5",16,31,"2",9,"2","2016","lateday","17","24","yes","no","Domestic Medium Hair","Brown","no","Female","nearly_baby","Transfer"
"Cat","60",1,"3",15,33,"7",28,"6","2015","midday","6","24","yes","no","Domestic Medium Hair","Calico","no","Female","baby","Adoption"
"Cat","60",1,"4",19,14,"6",7,"11","2015","lateday","11","22","yes","no","Domestic Shorthair","Brown","no","Female","baby","Adoption"
"Cat","365",1,"4",17,48,"7",1,"6","2014","lateday","11","22","yes","no","Domestic Shorthair","Black","no","Female","baby","Adoption"
"Cat","21",0,"8",18,38,"5",12,"9","2014","lateday","6","22","yes","no","Domestic Shorthair","Calico","yes","Male","baby","Transfer"
"Cat","730",1,"5",14,58,"5",19,"2","2016","midday","11","22","yes","no","Domestic Shorthair","Brown","no","Male","nearly_baby","Adoption"
"Cat","120",1,"5",18,45,"4",3,"7","2014","lateday","6","17","no","no","Domestic Longhair","Calico","no","Female","baby","Adoption"
"Cat","150",0,"8",9,0,"1",15,"9","2014","morning","6","22","yes","no","Domestic Shorthair","Torbie","yes","Female","baby","Transfer"
"Cat","60",1,"7",11,28,"3",16,"12","2015","night","17","22","yes","no","Domestic Shorthair","Black","no","Male","baby","Adoption"
"Cat","1460",1,"5",16,5,"6",23,"1","2016","lateday","11","22","yes","no","Domestic Shorthair","Black","no","Male","adult","Adoption"
"Cat","21",0,"8",11,35,"4",10,"9","2015","night","13","22","yes","no","Domestic Shorthair","Tortie","yes","Female","baby","Transfer"
"Cat","60",0,"8",17,26,"7",19,"7","2015","lateday","5","22","yes","no","Domestic Shorthair","Black","no","Male","baby","Adoption"
"Cat","30",1,"5",18,5,"1",6,"7","2015","lateday","16","22","yes","no","Domestic Shorthair","Blue","no","Female","baby","Adoption"
"Cat","30",1,"6",13,58,"6",31,"5","2014","midday","11","22","yes","no","Domestic Shorthair","Brown","yes","Male","baby","Transfer"
"Cat","120",0,"8",9,0,"4",23,"10","2014","morning","10","22","yes","no","Domestic Shorthair","Blue","yes","Male","baby","Transfer"
"Cat","4015",1,"6",15,50,"1",4,"11","2013","midday","6","22","yes","no","Domestic Shorthair","Tortie","no","Female","adult","Transfer"
"Cat","60",1,"4",0,0,"2",1,"9","2015","night","11","22","yes","no","Domestic Shorthair","White","no","Male","baby","Transfer"
"Cat","60",1,"7",18,44,"4",29,"10","2015","lateday","11","22","yes","no","Domestic Shorthair","Brown","yes","Female","baby","Adoption"
"Cat","4",0,"8",13,47,"3",21,"5","2014","midday","17","22","yes","no","Domestic Shorthair","Cream","yes","Male","baby","Transfer"
"Cat","28",0,"8",18,51,"3",3,"9","2014","lateday","11","24","yes","no","Domestic Medium Hair","Brown","yes","Female","baby","Transfer"
"Cat","365",1,"7",11,53,"5",13,"11","2015","night","11","22","yes","no","Domestic Shorthair","Black","yes","Female","baby","Transfer"
"Cat","300",0,"8",12,27,"4",3,"10","2013","midday","12","22","yes","no","Domestic Shorthair","Orange","yes","Male","baby","Transfer"
"Cat","120",1,"6",17,48,"3",16,"7","2014","lateday","17","22","yes","no","Domestic Shorthair","Brown","no","Female","baby","Adoption"
"Cat","240",1,"7",12,43,"7",23,"11","2014","midday","6","22","yes","no","Domestic Shorthair","Torbie","no","Female","baby","Adoption"
"Cat","365",0,"8",0,0,"2",1,"9","2015","night","17","22","yes","no","Domestic Shorthair","White","no","Male","baby","Transfer"
"Cat","365",0,"8",15,20,"2",21,"1","2014","midday","5","21","yes","no","Domestic Longhair","Black","Unknown","Unknown","baby","Transfer"
"Cat","4380",0,"8",17,16,"7",10,"5","2015","lateday","18","21","yes","no","Domestic Longhair","Orange","no","Male","adult","Euthanasia"
"Cat","90",1,"7",18,24,"6",27,"6","2015","lateday","5","22","yes","no","Domestic Shorthair","Black","no","Male","baby","Adoption"
"Cat","365",1,"5",15,49,"5",27,"12","2013","midday","5","22","yes","no","Domestic Shorthair","Black","no","Male","baby","Transfer"
"Cat","5475",1,"4",15,18,"6",31,"10","2015","midday","5","22","yes","no","Domestic Shorthair","Black","yes","Female","adult","Transfer"
"Cat","21",0,"8",18,38,"5",12,"9","2014","lateday","6","22","yes","no","Domestic Shorthair","Calico","yes","Female","baby","Transfer"
"Cat","730",0,"8",9,0,"6",21,"3","2015","morning","17","22","yes","no","Domestic Shorthair","Brown","yes","Male","nearly_baby","Transfer"
"Cat","28",1,"7",15,14,"3",30,"10","2013","midday","11","22","yes","no","Domestic Shorthair","Brown","yes","Male","baby","Transfer"
"Cat","21",0,"8",19,15,"2",24,"6","2014","lateday","11","22","yes","no","Domestic Shorthair","Brown","yes","Male","baby","Transfer"
"Cat","60",1,"5",8,21,"2",27,"5","2014","morning","5","22","yes","no","Domestic Shorthair","Black","yes","Male","baby","Adoption"
"Cat","730",1,"5",15,5,"1",7,"9","2015","midday","11","22","yes","no","Domestic Shorthair","White","no","Female","nearly_baby","Return_to_owner"
"Cat","365",0,"8",9,0,"1",28,"7","2014","morning","17","22","yes","no","Domestic Shorthair","Brown","yes","Female","baby","Transfer"
"Cat","2190",1,"7",15,21,"6",21,"11","2015","midday","11","22","yes","no","Domestic Shorthair","Black","no","Female","adult","Adoption"
"Cat","60",1,"5",20,4,"6",12,"7","2014","night","18","22","yes","no","Domestic Shorthair","Orange","no","Male","baby","Adoption"
"Cat","60",0,"8",17,14,"4",14,"11","2013","lateday","18","22","yes","no","Domestic Shorthair","Orange","no","Male","baby","Adoption"
"Cat","60",0,"8",16,2,"2",26,"5","2015","lateday","17","22","yes","no","Domestic Shorthair","Brown","yes","Male","baby","Transfer"
"Cat","2555",1,"6",18,25,"2",19,"8","2014","lateday","11","11","yes","no","Siamese","Flame","no","Male","adult","Adoption"
"Cat","90",1,"7",12,41,"7",6,"12","2015","midday","17","22","yes","no","Domestic Shorthair","Brown","no","Female","baby","Adoption"
"Cat","730",0,"8",15,35,"2",22,"4","2014","midday","5","22","yes","no","Domestic Shorthair","Black","yes","Female","nearly_baby","Transfer"
"Cat","30",0,"8",17,25,"7",24,"5","2015","lateday","16","22","yes","no","Domestic Shorthair","White","yes","Male","baby","Euthanasia"
"Cat","30",0,"8",12,49,"3",11,"12","2013","midday","18","22","yes","no","Domestic Shorthair","Orange","no","Male","baby","Transfer"
"Cat","60",1,"5",14,50,"7",20,"9","2015","midday","11","8","yes","no","Manx","White","no","Male","baby","Adoption"
"Cat","1095",0,"8",9,0,"2",6,"10","2015","morning","4","22","yes","no","Domestic Shorthair","Blue","yes","Female","adult","Transfer"
"Cat","60",1,"4",16,55,"6",18,"10","2014","lateday","11","22","yes","no","Domestic Shorthair","Brown","no","Male","baby","Adoption"
"Cat","730",1,"5",14,37,"7",19,"7","2015","midday","17","21","yes","no","Domestic Longhair","Brown","no","Female","nearly_baby","Adoption"
"Cat","7",0,"8",15,44,"6",22,"8","2015","midday","11","22","yes","no","Domestic Shorthair","Brown","Unknown","Unknown","baby","Transfer"
"Cat","14",0,"8",17,24,"7",3,"5","2015","lateday","12","22","yes","no","Domestic Shorthair","Orange","yes","Female","baby","Transfer"
"Cat","365",0,"8",15,3,"2",24,"12","2013","midday","12","22","yes","no","Domestic Shorthair","Orange","yes","Female","baby","Transfer"
"Cat","90",0,"8",14,15,"1",25,"5","2015","midday","5","22","yes","no","Domestic Shorthair","Black","yes","Female","baby","Transfer"
"Cat","30",0,"8",15,57,"1",21,"9","2015","midday","11","22","yes","no","Domestic Shorthair","Black","yes","Female","baby","Transfer"
"Cat","0",0,"8",15,17,"5",25,"4","2014","midday","4","22","yes","no","Domestic Shorthair","Blue","Unknown","Unknown","baby","Transfer"
"Cat","1825",0,"8",9,0,"2",10,"11","2015","morning","6","22","yes","no","Domestic Shorthair","Calico","no","Female","adult","Transfer"
"Cat","60",1,"4",10,12,"3",14,"10","2015","morning","12","22","yes","no","Domestic Shorthair","Orange","no","Female","baby","Adoption"
"Cat","90",1,"7",17,23,"2",8,"10","2013","lateday","11","18","no","no","Domestic Shorthair","Black","no","Male","baby","Return_to_owner"
"Cat","60",1,"6",13,36,"5",7,"11","2014","midday","11","21","yes","no","Domestic Longhair","Black","yes","Female","baby","Transfer"
"Cat","28",0,"8",18,28,"1",29,"9","2014","lateday","10","11","yes","no","Siamese","Blue","yes","Female","baby","Euthanasia"
"Cat","2920",1,"7",14,36,"3",27,"11","2013","midday","12","24","yes","no","Domestic Medium Hair","Orange","no","Male","adult","Adoption"
"Cat","90",1,"6",17,1,"3",16,"10","2013","lateday","6","22","yes","no","Domestic Shorthair","Calico","no","Female","baby","Adoption"
"Cat","120",0,"8",12,54,"5",15,"8","2014","midday","6","22","yes","no","Domestic Shorthair","Tortie","no","Female","baby","Adoption"
"Cat","60",1,"5",14,10,"6",13,"9","2014","midday","10","24","yes","no","Domestic Medium Hair","Blue","no","Male","baby","Adoption"
"Cat","180",1,"7",18,37,"2",6,"1","2015","lateday","5","22","yes","no","Domestic Shorthair","Black","no","Male","baby","Adoption"
"Cat","2920",1,"4",17,38,"7",16,"8","2015","lateday","11","22","yes","no","Domestic Shorthair","Black","no","Male","adult","Adoption"
"Cat","1095",1,"5",17,36,"4",13,"2","2014","lateday","11","22","yes","no","Domestic Shorthair","Brown","no","Male","adult","Return_to_owner"
"Cat","21",0,"8",13,21,"7",21,"9","2014","midday","6","22","yes","no","Domestic Shorthair","Tortie","yes","Female","baby","Transfer"
"Cat","60",1,"7",14,31,"5",5,"6","2015","midday","11","22","yes","no","Domestic Shorthair","Brown","no","Female","baby","Adoption"
"Cat","1825",1,"5",14,57,"1",16,"12","2013","midday","17","22","yes","no","Domestic Shorthair","Brown","no","Male","adult","Transfer"
"Cat","180",0,"8",15,33,"4",3,"10","2013","midday","6","24","yes","no","Domestic Medium Hair","Calico","yes","Female","baby","Transfer"
"Cat","180",0,"8",9,0,"5",12,"12","2014","morning","11","22","yes","no","Domestic Shorthair","Black","yes","Male","baby","Transfer"
"Cat","60",1,"5",12,19,"2",1,"4","2014","midday","6","22","yes","no","Domestic Shorthair","Calico","yes","Female","baby","Transfer"
"Cat","90",0,"8",17,23,"4",14,"8","2014","lateday","10","11","yes","no","Siamese","Seal","yes","Male","baby","Transfer"
"Cat","14",0,"8",18,37,"5",16,"5","2014","lateday","10","22","yes","no","Domestic Shorthair","Blue","Unknown","Unknown","baby","Transfer"
"Cat","60",0,"8",11,53,"1",8,"9","2014","night","18","22","yes","no","Domestic Shorthair","Orange","no","Female","baby","Adoption"
"Cat","270",1,"5",11,23,"2",2,"9","2014","night","17","22","yes","no","Domestic Shorthair","White","no","Male","baby","Return_to_owner"
"Cat","3",0,"8",18,33,"7",6,"7","2014","lateday","5","22","yes","no","Domestic Shorthair","White","yes","Male","baby","Transfer"
"Cat","240",0,"8",15,19,"4",3,"4","2014","midday","10","22","yes","no","Domestic Shorthair","Blue","yes","Female","baby","Transfer"
"Cat","30",1,"4",14,23,"3",6,"8","2014","midday","11","22","yes","no","Domestic Shorthair","Black","yes","Male","baby","Transfer"
"Cat","120",0,"8",14,55,"2",26,"11","2013","midday","5","22","yes","no","Domestic Shorthair","Black","yes","Female","baby","Transfer"
"Cat","60",1,"5",12,56,"5",31,"7","2015","midday","6","22","yes","no","Domestic Shorthair","Torbie","yes","Female","baby","Adoption"
"Cat","365",0,"8",19,23,"1",8,"2","2016","lateday","11","22","yes","no","Domestic Shorthair","Brown","yes","Male","baby","Transfer"
"Cat","90",0,"8",11,9,"4",16,"7","2015","night","16","11","yes","no","Siamese","Lynx","no","Female","baby","Adoption"
"Cat","60",0,"8",14,48,"2",8,"7","2014","midday","11","22","yes","no","Domestic Shorthair","Black","yes","Male","baby","Transfer"
"Cat","120",1,"7",10,12,"4",24,"12","2015","morning","18","22","yes","no","Domestic Shorthair","Orange","no","Female","baby","Adoption"
"Cat","14",0,"8",13,22,"4",31,"7","2014","midday","11","22","yes","no","Domestic Shorthair","Brown","yes","Female","baby","Transfer"
"Cat","60",1,"5",11,32,"2",18,"11","2014","night","5","22","yes","no","Domestic Shorthair","Black","no","Female","baby","Adoption"
"Cat","28",0,"8",16,48,"5",25,"7","2014","lateday","4","22","yes","no","Domestic Shorthair","Blue","yes","Male","baby","Transfer"
"Cat","210",1,"8",17,53,"1",19,"1","2015","lateday","17","22","yes","no","Domestic Shorthair","Brown","no","Female","baby","Adoption"
"Cat","60",1,"7",18,37,"3",22,"7","2015","lateday","11","22","yes","no","Domestic Shorthair","Brown","no","Male","baby","Adoption"
"Cat","4380",1,"9",18,23,"1",24,"8","2015","lateday","11","22","yes","no","Domestic Shorthair","Black","no","Male","adult","Euthanasia"
"Cat","90",1,"4",11,23,"5",19,"12","2014","night","11","22","yes","no","Domestic Shorthair","Black","no","Female","baby","Transfer"
"Cat","30",1,"7",17,32,"7",25,"5","2014","lateday","6","22","yes","no","Domestic Shorthair","Calico","no","Female","baby","Adoption"
"Cat","60",1,"7",18,23,"7",23,"11","2014","lateday","11","21","yes","no","Domestic Longhair","Black","no","Female","baby","Adoption"
"Cat","3650",1,"6",15,52,"2",26,"5","2015","midday","12","22","yes","no","Domestic Shorthair","Orange","no","Male","adult","Adoption"
"Cat","150",1,"6",17,21,"3",15,"10","2014","lateday","11","11","yes","no","Siamese","Flame","no","Male","baby","Adoption"
"Cat","365",0,"8",18,44,"3",1,"4","2015","lateday","11","22","yes","no","Domestic Shorthair","Black","no","Male","baby","Adoption"
"Cat","120",1,"6",13,35,"4",18,"12","2014","midday","5","24","yes","no","Domestic Medium Hair","Black","no","Male","baby","Transfer"
"Cat","28",0,"8",17,47,"5",24,"4","2015","lateday","4","18","no","no","Domestic Shorthair","Blue","yes","Male","baby","Transfer"
"Cat","21",0,"8",18,49,"2",19,"5","2015","lateday","11","22","yes","no","Domestic Shorthair","Black","Unknown","Unknown","baby","Transfer"
"Cat","21",0,"8",12,27,"3",17,"6","2015","midday","6","22","yes","no","Domestic Shorthair","Tortie","yes","Female","baby","Transfer"
"Cat","14",0,"8",17,47,"7",3,"8","2014","lateday","10","22","yes","no","Domestic Shorthair","Blue","yes","Male","baby","Transfer"
"Cat","30",1,"8",9,42,"5",26,"6","2015","morning","6","22","yes","no","Domestic Shorthair","Tortie","yes","Female","baby","Euthanasia"
"Cat","730",0,"8",19,1,"2",26,"1","2016","lateday","11","22","yes","no","Domestic Shorthair","Brown","no","Male","nearly_baby","Transfer"
"Cat","30",1,"5",18,48,"4",25,"9","2014","lateday","17","24","yes","no","Domestic Medium Hair","Brown","yes","Male","baby","Transfer"
"Cat","60",1,"5",14,30,"6",10,"10","2015","midday","11","11","yes","no","Siamese","Lilac","yes","Male","baby","Adoption"
"Cat","4380",1,"6",18,8,"1",14,"7","2014","lateday","6","21","yes","no","Domestic Longhair","Tortie","no","Female","adult","Euthanasia"
"Cat","730",0,"8",13,14,"4",30,"1","2014","midday","4","22","yes","no","Domestic Shorthair","Blue","no","Male","nearly_baby","Transfer"
"Cat","3650",1,"8",9,30,"2",12,"1","2016","morning","17","22","yes","no","Domestic Shorthair","Brown","yes","Female","adult","Euthanasia"
"Cat","60",1,"6",15,39,"1",7,"7","2014","midday","12","24","yes","no","Domestic Medium Hair","Orange","no","Male","baby","Adoption"
"Cat","730",0,"8",9,0,"3",18,"6","2014","morning","6","22","yes","no","Domestic Shorthair","Tortie","yes","Female","nearly_baby","Transfer"
"Cat","60",1,"6",19,0,"7",29,"11","2015","lateday","10","22","yes","no","Domestic Shorthair","Blue","no","Male","baby","Adoption"
"Cat","90",1,"4",18,35,"6",13,"9","2014","lateday","11","11","yes","no","Siamese","Lilac","no","Female","baby","Adoption"
"Cat","60",1,"7",17,24,"2",1,"12","2015","lateday","11","22","yes","no","Domestic Shorthair","Brown","no","Female","baby","Adoption"
"Cat","90",1,"6",12,46,"6",5,"9","2015","midday","18","22","yes","no","Domestic Shorthair","White","no","Male","baby","Adoption"
"Cat","730",1,"4",12,38,"5",20,"12","2013","midday","18","20","yes","no","Exotic Shorthair","White","no","Female","nearly_baby","Transfer"
"Cat","180",1,"6",19,11,"7",8,"12","2013","lateday","11","22","yes","no","Domestic Shorthair","Black","no","Female","baby","Adoption"
"Cat","4",0,"8",15,41,"3",8,"4","2015","midday","6","22","yes","no","Domestic Shorthair","Torbie","yes","Female","baby","Transfer"
"Cat","90",0,"8",17,18,"6",12,"7","2014","lateday","11","22","yes","no","Domestic Shorthair","Brown","no","Female","baby","Adoption"
"Cat","150",1,"5",17,41,"2",11,"11","2014","lateday","12","11","yes","no","Siamese","Tortie","no","Female","baby","Adoption"
"Cat","60",1,"5",13,53,"4",8,"10","2015","midday","18","22","yes","no","Domestic Shorthair","Orange","no","Male","baby","Transfer"
"Cat","30",1,"4",15,0,"3",24,"9","2014","midday","17","22","yes","no","Domestic Shorthair","Brown","yes","Female","baby","Transfer"
"Cat","120",0,"8",14,11,"3",17,"9","2014","midday","17","22","yes","no","Domestic Shorthair","Brown","no","Male","baby","Adoption"
"Cat","60",1,"5",17,8,"7",3,"1","2016","lateday","6","22","yes","no","Domestic Shorthair","Torbie","no","Female","baby","Return_to_owner"
"Cat","60",0,"8",17,44,"1",29,"6","2015","lateday","4","21","yes","no","Domestic Longhair","Blue","no","Female","baby","Adoption"
"Cat","30",0,"8",17,5,"6",11,"10","2014","lateday","6","22","yes","no","Domestic Shorthair","Torbie","yes","Female","baby","Adoption"
"Cat","14",0,"8",17,53,"6",10,"10","2015","lateday","18","22","yes","no","Domestic Shorthair","Orange","Unknown","Unknown","baby","Transfer"
"Cat","365",0,"8",9,0,"5",16,"1","2015","morning","11","22","yes","no","Domestic Shorthair","Black","yes","Female","baby","Transfer"
"Cat","60",1,"6",19,37,"7",13,"7","2014","lateday","5","22","yes","no","Domestic Shorthair","Black","no","Male","baby","Adoption"
"Cat","60",1,"6",20,13,"1",19,"10","2015","night","12","22","yes","no","Domestic Shorthair","Orange","no","Male","baby","Adoption"
"Cat","2920",0,"8",18,11,"2",3,"12","2013","lateday","10","11","yes","no","Siamese","Lynx","no","Male","adult","Euthanasia"
"Cat","14",0,"8",16,41,"1",8,"9","2014","lateday","16","22","yes","no","Domestic Shorthair","Blue","yes","Female","baby","Transfer"
"Cat","5",0,"8",12,17,"2",30,"6","2015","midday","5","22","yes","no","Domestic Shorthair","Black","Unknown","Unknown","baby","Transfer"
"Cat","21",0,"8",19,3,"7",17,"5","2015","lateday","17","22","yes","no","Domestic Shorthair","White","yes","Male","baby","Euthanasia"
"Cat","2555",1,"4",14,33,"1",20,"1","2014","midday","11","22","yes","no","Domestic Shorthair","Brown","no","Female","adult","Return_to_owner"
"Cat","730",0,"8",19,24,"2",8,"12","2015","lateday","10","24","yes","no","Domestic Medium Hair","Blue","no","Male","nearly_baby","Return_to_owner"
