"ID","Name","OutcomeType","AnimalType","SexuponOutcome","Breed","Color","isTrain","AgeinDays","NameNoName","Year","Month","Day","Hour","Minute","DayOfTheWeek","WeekEnd","Situation","Sex","DayPhase","Mix","Domestic","Hair","ParticularBreed","ParticularBreedLogical","LifePhase"
"A664304","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Orange Tabby",TRUE,"300","FALSE","2013","10","03","12","27","5","FALSE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","junior"
"A680585","Olivia","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Brown Tabby/White",TRUE,"120","TRUE","2014","07","16","17","48","4","FALSE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A676430","Tabitha","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Torbie",TRUE,"240","TRUE","2014","11","23","12","43","1","TRUE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","junior"
"A683666","","Transfer","Cat","Neutered Male","Domestic Shorthair Mix","White/Cream Tabby",TRUE,"365","FALSE","2015","09","01","00","00","3","FALSE","Neutered","Male","night","TRUE","TRUE","shorthair","None","FALSE","junior"
"A671105","","Transfer","Cat","Unknown Unknown","Domestic Longhair Mix","Black",TRUE,"365","FALSE","2014","01","21","15","20","3","FALSE","Unknown","Unknown","afternoon","TRUE","TRUE","longhair","None","FALSE","junior"
"A702207","","Euthanasia","Cat","Neutered Male","Domestic Longhair Mix","Orange Tabby/White",TRUE,"4380","FALSE","2015","05","10","17","16","1","TRUE","Neutered","Male","afternoon","TRUE","TRUE","longhair","None","FALSE","senior"
"A705885","Meowser","Adoption","Cat","Neutered Male","Domestic Shorthair Mix","Black",TRUE,"90","TRUE","2015","06","27","18","24","7","TRUE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A665666","Teddy","Transfer","Cat","Neutered Male","Domestic Shorthair Mix","Black",TRUE,"365","TRUE","2013","12","27","15","49","6","FALSE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","junior"
"A714575","Isis","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Black",TRUE,"5475","TRUE","2015","10","31","15","18","7","TRUE","Intact","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","geriatric"
"A687989","","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Calico",TRUE,"21","FALSE","2014","09","12","18","38","6","FALSE","Intact","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A698940","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Brown Tabby/White",TRUE,"730","FALSE","2015","03","21","09","00","7","TRUE","Intact","Male","morning","TRUE","TRUE","shorthair","None","FALSE","prime"
"A666074","Jackson","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Brown Tabby",TRUE,"28","TRUE","2013","10","30","15","14","4","FALSE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A682131","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Brown Tabby",TRUE,"21","FALSE","2014","06","24","19","15","3","FALSE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A674737","Byron","Adoption","Cat","Intact Male","Domestic Shorthair Mix","Black",TRUE,"60","TRUE","2014","05","27","08","21","3","FALSE","Intact","Male","morning","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A665661","Julia","Return_to_owner","Cat","Spayed Female","Domestic Shorthair Mix","White/Black",TRUE,"730","TRUE","2015","09","07","15","05","2","FALSE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","prime"
"A684709","","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Brown Tabby/White",TRUE,"365","FALSE","2014","07","28","09","00","2","FALSE","Intact","Female","morning","TRUE","TRUE","shorthair","None","FALSE","junior"
"A616229","Rebecca","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Black/White",TRUE,"2190","TRUE","2015","11","21","15","21","7","TRUE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","prime"
"A680336","Buddy","Adoption","Cat","Neutered Male","Domestic Shorthair Mix","Orange Tabby/White",TRUE,"60","TRUE","2014","07","12","20","04","7","TRUE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A666971","","Adoption","Cat","Neutered Male","Domestic Shorthair Mix","Orange Tabby/White",TRUE,"60","FALSE","2013","11","14","17","14","5","FALSE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A703244","","Transfer","Cat","Intact Male","Domestic Shorthair Mix","Brown Tabby/White",TRUE,"60","FALSE","2015","05","26","16","02","3","FALSE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A685460","Jerrid","Adoption","Cat","Neutered Male","Siamese Mix","Flame Point",TRUE,"2555","TRUE","2014","08","19","18","25","3","FALSE","Neutered","Male","afternoon","TRUE","FALSE","None","siamese","TRUE","mature"
"A716890","Vidalia","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Brown Tabby/White",TRUE,"90","TRUE","2015","12","06","12","41","1","TRUE","Spayed","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A676334","","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Black",TRUE,"730","FALSE","2014","04","22","15","35","3","FALSE","Intact","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","prime"
"A702356","","Euthanasia","Cat","Intact Male","Domestic Shorthair Mix","White/Blue Tabby",TRUE,"30","FALSE","2015","05","24","17","25","1","TRUE","Intact","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A666504","","Transfer","Cat","Neutered Male","Domestic Shorthair Mix","Orange Tabby/White",TRUE,"30","FALSE","2013","12","11","12","49","4","FALSE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A711607","Bosco","Adoption","Cat","Neutered Male","Manx Mix","White/Black",TRUE,"60","TRUE","2015","09","20","14","50","1","TRUE","Neutered","Male","afternoon","TRUE","FALSE","None","manx","TRUE","kitten"
"A713337","","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Blue",TRUE,"1095","FALSE","2015","10","06","09","00","3","FALSE","Intact","Female","morning","TRUE","TRUE","shorthair","None","FALSE","prime"
"A689749","Taco","Adoption","Cat","Neutered Male","Domestic Shorthair Mix","Brown Tabby",TRUE,"60","TRUE","2014","10","18","16","55","7","TRUE","Neutered","Male","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A701791","Arwen","Adoption","Cat","Spayed Female","Domestic Longhair Mix","Brown Tabby/White",TRUE,"730","TRUE","2015","07","19","14","37","1","TRUE","Spayed","Female","afternoon","TRUE","TRUE","longhair","None","FALSE","prime"
"A710380","","Transfer","Cat","Unknown Unknown","Domestic Shorthair Mix","Brown Tabby",TRUE,"7","FALSE","2015","08","22","15","44","7","TRUE","Unknown","Unknown","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A701707","","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Orange Tabby",TRUE,"14","FALSE","2015","05","03","17","24","1","TRUE","Intact","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A669534","","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Orange Tabby",TRUE,"365","FALSE","2013","12","24","15","03","3","FALSE","Intact","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","junior"
"A701647","","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Black",TRUE,"90","FALSE","2015","05","25","14","15","2","FALSE","Intact","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A712244","","Transfer","Cat","Intact Female","Domestic Shorthair Mix","Black/White",TRUE,"30","FALSE","2015","09","21","15","57","2","FALSE","Intact","Female","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A677462","","Transfer","Cat","Unknown Unknown","Domestic Shorthair Mix","Blue",TRUE,"0","FALSE","2014","04","25","15","17","6","FALSE","Unknown","Unknown","afternoon","TRUE","TRUE","shorthair","None","FALSE","kitten"
"A715761","","Transfer","Cat","Spayed Female","Domestic Shorthair Mix","Calico",TRUE,"1825","FALSE","2015","11","10","09","00","3","FALSE","Spayed","Female","morning","TRUE","TRUE","shorthair","None","FALSE","prime"
"A710881","Ruth","Adoption","Cat","Spayed Female","Domestic Shorthair Mix","Orange Tabby",TRUE,"60","TRUE","2015","10","14","10","12","4","FALSE","Spayed","Female","morning","TRUE","TRUE","shorthair","None","FALSE","kitten"
