"ID","Name","OutcomeType","AnimalType","SexuponOutcome","Breed","Color","isTrain","AgeinDays","NameNoName","Year","Month","Day","Hour","Minute","DayOfTheWeek","WeekEnd","Situation","Sex","DayPhase","BreedSimplified","LifePhase"
"A687012","Chloe","Adoption","Dog","Spayed Female","Boxer/GreatDane","Black",TRUE,"1095","TRUE","2016","02","07","14","54","1","TRUE","Spayed","Female","afternoon","Hybrid","adult"
"A676200","Georgia","Transfer","Dog","Spayed Female","LhasaApso","White/Black",TRUE,"2555","TRUE","2014","04","10","11","49","5","FALSE","Spayed","Female","morning","Pure","adult"
"A676680","Hero","Euthanasia","Dog","Spayed Female","GermanShepherdMix","Black/Tan",TRUE,"730","TRUE","2015","02","06","18","56","6","FALSE","Spayed","Female","afternoon","Mix","adult"
"A715261","Darcy","Adoption","Dog","Spayed Female","Beagle/TreeingWalkerCoonhound","White/Brown",TRUE,"3285","TRUE","2015","11","15","14","06","1","TRUE","Spayed","Female","afternoon","Hybrid","senior"
"A717008","Taz","Transfer","Dog","Neutered Male","BorderCollieMix","Black/White",TRUE,"210","TRUE","2015","12","06","15","12","1","TRUE","Neutered","Male","afternoon","Mix","puppy"
"A695155","","Adoption","Dog","Neutered Male","BorderTerrierMix","Gray",TRUE,"1095","FALSE","2015","01","14","16","18","4","FALSE","Neutered","Male","afternoon","Mix","adult"
"A679721","Poppy","Adoption","Dog","Neutered Male","ChihuahuaShorthairMix","Tan/White",TRUE,"1825","TRUE","2014","05","29","17","43","5","FALSE","Neutered","Male","afternoon","Mix","adult"
"A719113","Dexter","Transfer","Dog","Neutered Male","BoxerMix","Brown Brindle/White",TRUE,"1825","TRUE","2016","01","28","12","05","5","FALSE","Neutered","Male","afternoon","Mix","adult"
"A699990","Chubbs","Return_to_owner","Dog","Neutered Male","CairnTerrierMix","Tan/White",TRUE,"1460","TRUE","2015","04","08","18","06","4","FALSE","Neutered","Male","afternoon","Mix","adult"
"A668362","Minnie","Return_to_owner","Dog","Spayed Female","ChihuahuaShorthairMix","Black/Tan",TRUE,"730","TRUE","2013","12","20","12","02","6","FALSE","Spayed","Female","afternoon","Mix","adult"
"A674577","Santiago","Adoption","Dog","Neutered Male","DogoArgentinoMix","White",TRUE,"730","TRUE","2014","03","23","18","43","1","TRUE","Neutered","Male","afternoon","Mix","adult"
"A674802","Franklin","Return_to_owner","Dog","Neutered Male","DachshundMix","Black/Brown",TRUE,"3285","TRUE","2014","03","29","11","26","7","TRUE","Neutered","Male","morning","Mix","senior"
"A672410","Myles","Return_to_owner","Dog","Neutered Male","BeagleMix","Tricolor",TRUE,"1825","TRUE","2014","02","11","18","16","3","FALSE","Neutered","Male","afternoon","Mix","adult"
"A657753","Wiz","Euthanasia","Dog","Neutered Male","ChihuahuaShorthair/Dachshund","Yellow Brindle/White",TRUE,"365","TRUE","2013","12","06","16","53","6","FALSE","Neutered","Male","afternoon","Hybrid","adolescent"
"A663339","Abby","Adoption","Dog","Spayed Female","PitBullMix","Fawn/White",TRUE,"730","TRUE","2013","10","20","16","37","1","TRUE","Spayed","Female","afternoon","Mix","adult"
"A698694","Boss","Transfer","Dog","Intact Male","PitBullMix","White/Brown",TRUE,"150","TRUE","2015","07","06","15","48","2","FALSE","Intact","Male","afternoon","Mix","puppy"
"A674233","Missy","Adoption","Dog","Spayed Female","ChihuahuaShorthairMix","Tan",TRUE,"365","TRUE","2014","03","22","15","38","7","TRUE","Spayed","Female","afternoon","Mix","adolescent"
"A713392","Basil","Transfer","Dog","Intact Male","ChihuahuaShorthairMix","Black/White",TRUE,"90","TRUE","2015","11","05","00","00","5","FALSE","Intact","Male","night","Mix","puppy"
"A701428","Kiki","Return_to_owner","Dog","Spayed Female","ChihuahuaShorthairMix","Brown",TRUE,"1095","TRUE","2015","05","03","16","59","1","TRUE","Spayed","Female","afternoon","Mix","adult"
"A676146","Desmo","Return_to_owner","Dog","Neutered Male","DachshundMix","Black",TRUE,"1825","TRUE","2014","04","14","17","00","2","FALSE","Neutered","Male","afternoon","Mix","adult"
"A679259","Pablo","Adoption","Dog","Neutered Male","MiniatureSchnauzer/MiniaturePoodle","Black",TRUE,"2920","TRUE","2014","05","26","11","22","2","FALSE","Neutered","Male","morning","Hybrid","adult"
"A688223","","Adoption","Dog","Spayed Female","LabradorRetrieverMix","Black/White",TRUE,"60","FALSE","2014","09","21","14","15","1","TRUE","Spayed","Female","afternoon","Mix","gestation"
"A674530","Jackson","Adoption","Dog","Neutered Male","PitBull","Black",TRUE,"1825","TRUE","2014","09","11","17","03","5","FALSE","Neutered","Male","afternoon","Pure","adult"
"A718604","Watson","Adoption","Dog","Neutered Male","PitBullMix","White/Brown",TRUE,"365","TRUE","2016","01","31","17","22","1","TRUE","Neutered","Male","afternoon","Mix","adolescent"
"A699094","Levon","Return_to_owner","Dog","Neutered Male","ChihuahuaShorthairMix","Brown/White",TRUE,"730","TRUE","2015","03","22","18","40","1","TRUE","Neutered","Male","afternoon","Mix","adult"
"A394547","Snickerdoodl","Return_to_owner","Dog","Spayed Female","LabradorRetrieverMix","Chocolate/White",TRUE,"3285","TRUE","2015","01","25","11","15","1","TRUE","Spayed","Female","morning","Mix","senior"
"A662685","Lola","Adoption","Dog","Spayed Female","PitBullMix","Red/White",TRUE,"1095","TRUE","2015","10","22","17","18","5","FALSE","Spayed","Female","afternoon","Mix","adult"
"A707781","Pearl","Adoption","Dog","Spayed Female","ChihuahuaShorthair/JackRussellTerrier","Black/White",TRUE,"365","TRUE","2016","01","15","14","03","6","FALSE","Spayed","Female","afternoon","Hybrid","adolescent"
"A694699","Pebbles","Transfer","Dog","Spayed Female","ChihuahuaShorthairMix","Black/Tan",TRUE,"730","TRUE","2015","01","09","15","28","6","FALSE","Spayed","Female","afternoon","Mix","adult"
"A696350","Minnie","Return_to_owner","Dog","Spayed Female","PitBull","Brown Brindle",TRUE,"365","TRUE","2015","12","15","17","30","3","FALSE","Spayed","Female","afternoon","Pure","adolescent"
"A698341","Parsley","Return_to_owner","Dog","Spayed Female","TibetanTerrierMix","Brown",TRUE,"730","TRUE","2015","05","16","15","19","7","TRUE","Spayed","Female","afternoon","Mix","adult"
"A689601","Abby","Adoption","Dog","Spayed Female","MiniaturePinscher/ChihuahuaShorthair","Tricolor",TRUE,"30","TRUE","2014","11","23","18","55","1","TRUE","Spayed","Female","afternoon","Hybrid","gestation"
"A714494","Amarillo","Adoption","Dog","Neutered Male","LabradorRetrieverMix","Yellow",TRUE,"180","TRUE","2015","11","01","19","11","1","TRUE","Neutered","Male","afternoon","Mix","puppy"
"A688720","","Adoption","Dog","Spayed Female","DachshundMix","Tan",TRUE,"365","FALSE","2014","09","26","18","09","6","FALSE","Spayed","Female","afternoon","Mix","adolescent"
"A689690","Winnie","Transfer","Dog","Intact Female","DachshundMix","Brown/White",TRUE,"180","TRUE","2014","10","22","14","37","4","FALSE","Intact","Female","afternoon","Mix","puppy"
"A702014","Diamond","Adoption","Dog","Spayed Female","BlueLacyMix","Blue/White",TRUE,"330","TRUE","2015","11","14","13","30","7","TRUE","Spayed","Female","afternoon","Mix","puppy"
"A673626","","Transfer","Dog","Neutered Male","RatTerrierMix","Tricolor",TRUE,"90","FALSE","2014","03","03","16","58","2","FALSE","Neutered","Male","afternoon","Mix","puppy"
"A652097","Minnie","Return_to_owner","Dog","Spayed Female","DachshundLonghair","Brown",TRUE,"730","TRUE","2014","02","10","12","34","2","FALSE","Spayed","Female","afternoon","Pure","adult"
"A685180","Neville","Transfer","Dog","Neutered Male","PitBullMix","Red",TRUE,"730","TRUE","2014","09","27","12","25","7","TRUE","Neutered","Male","afternoon","Mix","adult"
"A707442","Conrad","Adoption","Dog","Neutered Male","PitBullMix","Brown/White",TRUE,"730","TRUE","2015","08","15","11","32","7","TRUE","Neutered","Male","morning","Mix","adult"
"A685452","","Transfer","Dog","Intact Female","Dachshund/ChihuahuaShorthair","Red",TRUE,"120","FALSE","2014","08","11","15","17","2","FALSE","Intact","Female","afternoon","Hybrid","puppy"
"A705924","Nero","Transfer","Dog","Neutered Male","ChihuahuaShorthairMix","Brown/White",TRUE,"2555","TRUE","2015","07","29","15","41","4","FALSE","Neutered","Male","afternoon","Mix","adult"
"A716760","Dasher","Adoption","Dog","Neutered Male","BorderCollieMix","Black/White",TRUE,"180","TRUE","2015","12","06","17","08","1","TRUE","Neutered","Male","afternoon","Mix","puppy"
"A709048","Libby","Adoption","Dog","Intact Female","LabradorRetrieverMix","Black/White",TRUE,"150","TRUE","2015","08","08","17","58","7","TRUE","Intact","Female","afternoon","Mix","puppy"
"A719048","Gracie","Return_to_owner","Dog","Spayed Female","Maltese","White",TRUE,"2920","TRUE","2016","01","13","11","43","4","FALSE","Spayed","Female","morning","Pure","adult"
"A720668","","Return_to_owner","Dog","Spayed Female","LabradorRetrieverMix","White",TRUE,"150","FALSE","2016","02","15","18","30","2","FALSE","Spayed","Female","afternoon","Mix","puppy"
"A708769","Keyla","Adoption","Dog","Spayed Female","ChihuahuaShorthairMix","White/Tan",TRUE,"365","TRUE","2015","08","01","11","54","7","TRUE","Spayed","Female","morning","Mix","adolescent"
"A681462","Samson","Adoption","Dog","Neutered Male","LabradorRetriever/Rottweiler","Black/Brown",TRUE,"730","TRUE","2014","08","10","16","25","1","TRUE","Neutered","Male","afternoon","Hybrid","adult"
"A701153","","Adoption","Dog","Neutered Male","Dachshund/ManchesterTerrier","Tricolor",TRUE,"60","FALSE","2015","06","25","09","31","5","FALSE","Neutered","Male","morning","Hybrid","gestation"
"A700707","Sallie","Adoption","Dog","Spayed Female","PlottHound/LabradorRetriever","Black/Brown Brindle",TRUE,"30","TRUE","2015","04","20","14","41","2","FALSE","Spayed","Female","afternoon","Hybrid","gestation"
"A702563","Klo Dog","Return_to_owner","Dog","Spayed Female","ChihuahuaShorthair/RatTerrier","White/Tan",TRUE,"2555","TRUE","2015","05","25","11","26","2","FALSE","Spayed","Female","morning","Hybrid","adult"
"A715729","Milo","Return_to_owner","Dog","Neutered Male","SiberianHusky","White/Gray",TRUE,"1460","TRUE","2015","11","09","13","24","2","FALSE","Neutered","Male","afternoon","Pure","adult"
"A716575","Scarlet","Transfer","Dog","Spayed Female","AustralianCattleDogMix","Tan/White",TRUE,"730","TRUE","2015","12","22","00","00","3","FALSE","Spayed","Female","night","Mix","adult"
"A714462","Pebbles","Return_to_owner","Dog","Spayed Female","PointerMix","White/Black",TRUE,"365","TRUE","2015","11","14","13","26","7","TRUE","Spayed","Female","afternoon","Mix","adolescent"
"A717429","Cairo","Return_to_owner","Dog","Neutered Male","PitBullMix","Brown Brindle/White",TRUE,"730","TRUE","2015","12","09","17","05","4","FALSE","Neutered","Male","afternoon","Mix","adult"
"A701999","Luna","Adoption","Dog","Spayed Female","YorkshireTerrier/MiniaturePoodle","Tan/Silver",TRUE,"730","TRUE","2015","05","12","17","39","3","FALSE","Spayed","Female","afternoon","Hybrid","adult"
"A698066","Diva","Transfer","Dog","Spayed Female","GermanShepherdMix","White",TRUE,"1460","TRUE","2015","03","07","12","50","7","TRUE","Spayed","Female","afternoon","Mix","adult"
"A699715","Ashley","Transfer","Dog","Spayed Female","Catahoula/LabradorRetriever","White/Tan",TRUE,"2190","TRUE","2015","05","13","11","51","4","FALSE","Spayed","Female","morning","Hybrid","adult"
"A702246","","Adoption","Dog","Spayed Female","MiniaturePoodleMix","Black/White",TRUE,"270","FALSE","2015","05","15","17","47","6","FALSE","Spayed","Female","afternoon","Mix","puppy"
"A711918","Jaqueline","Adoption","Dog","Spayed Female","JackRussellTerrier/PitBull","Red",TRUE,"1095","TRUE","2015","09","19","14","33","7","TRUE","Spayed","Female","afternoon","Hybrid","adult"
"A677577","Roxie","Adoption","Dog","Spayed Female","QueenslandHeeler/ShetlandSheepdog","Red Tick/Black",TRUE,"300","TRUE","2014","05","01","16","12","5","FALSE","Spayed","Female","afternoon","Hybrid","puppy"
"A713754","Harper","Adoption","Dog","Neutered Male","CatahoulaMix","Blue Merle",TRUE,"365","TRUE","2015","10","27","16","44","3","FALSE","Neutered","Male","afternoon","Mix","adolescent"
"A703631","Hanley","Adoption","Dog","Neutered Male","LabradorRetrieverMix","Black/White",TRUE,"365","TRUE","2015","07","03","18","50","6","FALSE","Neutered","Male","afternoon","Mix","adolescent"
"A676209","Boomer","Adoption","Dog","Neutered Male","LabradorRetrieverMix","Yellow",TRUE,"90","TRUE","2014","07","24","15","02","5","FALSE","Neutered","Male","afternoon","Mix","puppy"
"A667508","Brownie","Return_to_owner","Dog","Intact Male","ChihuahuaShorthairMix","Chocolate/Tan",TRUE,"2190","TRUE","2013","11","19","18","30","3","FALSE","Intact","Male","afternoon","Mix","adult"
"A676056","Swisha","Return_to_owner","Dog","Neutered Male","AmericanPitBullTerrierMix","Tan/White",TRUE,"730","TRUE","2014","04","10","10","13","5","FALSE","Neutered","Male","morning","Mix","adult"
"A667963","","Adoption","Dog","Spayed Female","DachshundLonghairMix","Tan/White",TRUE,"1825","FALSE","2013","11","30","18","48","7","TRUE","Spayed","Female","afternoon","Mix","adult"
"A672065","Dutchess","Adoption","Dog","Spayed Female","GermanShepherdMix","Sable",TRUE,"730","TRUE","2014","04","08","12","50","3","FALSE","Spayed","Female","afternoon","Mix","adult"
"A688852","Buddy","Adoption","Dog","Neutered Male","LabradorRetrieverMix","Black/White",TRUE,"2190","TRUE","2014","10","18","18","48","7","TRUE","Neutered","Male","afternoon","Mix","adult"
"A670949","Cassie","Return_to_owner","Dog","Spayed Female","DobermanPinschMix","Tricolor",TRUE,"240","TRUE","2014","02","01","11","13","7","TRUE","Spayed","Female","morning","Mix","puppy"
"A690480","","Transfer","Dog","Intact Female","PointerMix","Chocolate/White",TRUE,"21","FALSE","2014","10","22","17","46","4","FALSE","Intact","Female","afternoon","Mix","gestation"
"A691636","Dali","Adoption","Dog","Neutered Male","Dachshund/JackRussellTerrier","White/Brown",TRUE,"150","TRUE","2014","11","13","16","07","5","FALSE","Neutered","Male","afternoon","Hybrid","puppy"
"A678482","","Adoption","Dog","Neutered Male","MiniaturePoodle/MiniatureSchnauzer","Black/White",TRUE,"730","FALSE","2014","05","14","19","15","4","FALSE","Neutered","Male","afternoon","Hybrid","adult"
"A687785","Bella","Adoption","Dog","Spayed Female","WhippetMix","Brown Brindle/White",TRUE,"730","TRUE","2014","12","30","09","38","3","FALSE","Spayed","Female","morning","Mix","adult"
"A716839","Dino","Return_to_owner","Dog","Intact Male","AustralianShepherdMix","Brown Merle/White",TRUE,"730","TRUE","2015","11","27","14","06","6","FALSE","Intact","Male","afternoon","Mix","adult"
"A718547","","Adoption","Dog","Spayed Female","LabradorRetrieverMix","Tan/White",TRUE,"730","FALSE","2016","01","11","14","23","2","FALSE","Spayed","Female","afternoon","Mix","adult"
"A694408","Emma","Transfer","Dog","Spayed Female","PitBullMix","Brown Tiger/White",TRUE,"365","TRUE","2015","05","28","13","14","5","FALSE","Spayed","Female","afternoon","Mix","adolescent"
"A675549","Marco","Transfer","Dog","Neutered Male","ChihuahuaShorthairMix","White/Brown",TRUE,"1460","TRUE","2014","04","08","15","29","3","FALSE","Neutered","Male","afternoon","Mix","adult"
"A719876","Oreo","Transfer","Dog","Spayed Female","RatTerrierMix","White/Black",TRUE,"365","TRUE","2016","02","02","15","58","3","FALSE","Spayed","Female","afternoon","Mix","adolescent"
"A676626","Pia","Adoption","Dog","Spayed Female","EnglishPointerMix","Brown/White",TRUE,"60","TRUE","2014","05","30","16","54","6","FALSE","Spayed","Female","afternoon","Mix","gestation"
"A666478","Bleu","Adoption","Dog","Spayed Female","MiniatureSchnauzer/YorkshireTerrier","Black/White",TRUE,"365","TRUE","2013","11","04","17","51","2","FALSE","Spayed","Female","afternoon","Hybrid","adolescent"
"A683507","","Adoption","Dog","Spayed Female","CairnTerrierMix","Buff",TRUE,"1095","FALSE","2014","07","15","17","26","3","FALSE","Spayed","Female","afternoon","Mix","adult"
"A487470","Midnight","Euthanasia","Dog","Neutered Male","LabradorRetriever/PitBull","Black",TRUE,"3285","TRUE","2014","01","20","18","40","2","FALSE","Neutered","Male","afternoon","Hybrid","senior"
"A668260","","Transfer","Dog","Spayed Female","GreatDane","Black/White",TRUE,"1825","FALSE","2013","12","02","14","10","2","FALSE","Spayed","Female","afternoon","Pure","adult"
"A716964","Rello","Return_to_owner","Dog","Intact Male","ChihuahuaShorthairMix","Black/White",TRUE,"730","TRUE","2015","11","29","18","11","1","TRUE","Intact","Male","afternoon","Mix","adult"
"A701029","Bode","Return_to_owner","Dog","Neutered Male","ChesaBayRetr","Brown",TRUE,"730","TRUE","2015","05","01","11","04","6","FALSE","Neutered","Male","morning","Pure","adult"
"A668506","Jake","Return_to_owner","Dog","Neutered Male","GermanShepherd","Brown/Black",TRUE,"2555","TRUE","2015","11","03","16","40","3","FALSE","Neutered","Male","afternoon","Pure","adult"
"A701898","Anita","Return_to_owner","Dog","Spayed Female","ChihuahuaShorthairMix","Tan/Black",TRUE,"365","TRUE","2015","05","10","18","38","1","TRUE","Spayed","Female","afternoon","Mix","adolescent"
"A691605","Daisy","Return_to_owner","Dog","Spayed Female","PlottHoundMix","Brown Brindle",TRUE,"2190","TRUE","2014","11","08","14","41","7","TRUE","Spayed","Female","afternoon","Mix","adult"
"A705111","Kiki","Adoption","Dog","Spayed Female","ChihuahuaShorthairMix","Brown/Black",TRUE,"730","TRUE","2015","06","24","15","25","4","FALSE","Spayed","Female","afternoon","Mix","adult"
"A715741","Simba","Adoption","Dog","Neutered Male","ChowChowMix","Red",TRUE,"1095","TRUE","2015","11","19","18","45","5","FALSE","Neutered","Male","afternoon","Mix","adult"
"A668122","","Adoption","Dog","Spayed Female","EnglishPointer","Liver/White",TRUE,"2555","FALSE","2013","12","01","17","58","1","TRUE","Spayed","Female","afternoon","Pure","adult"
"A664842","June","Return_to_owner","Dog","Spayed Female","PitBullMix","Brown/White",TRUE,"730","TRUE","2013","11","09","19","21","7","TRUE","Spayed","Female","afternoon","Mix","adult"
"A709067","Earlene","Return_to_owner","Dog","Intact Female","BoxerMix","Black/White",TRUE,"150","TRUE","2015","08","05","00","00","4","FALSE","Intact","Female","night","Mix","puppy"
"A608918","Vader","Transfer","Dog","Neutered Male","BassetHound/LabradorRetriever","Black/White",TRUE,"1460","TRUE","2015","06","02","11","56","3","FALSE","Neutered","Male","morning","Hybrid","adult"
"A651596","Brownie","Return_to_owner","Dog","Neutered Male","LabradorRetrieverMix","Buff",TRUE,"730","TRUE","2014","03","06","17","13","5","FALSE","Neutered","Male","afternoon","Mix","adult"
